name,mass,radius,habital_zone_distance
GJ 667C c,3.8,1.54,-0.62
Kepler-25 b,3.81,2.71,-2.43
Kepler-294 c,3.82,2.71,-2.35
Kepler-355 c,3.82,2.71,-2.22
PSR 1257 12 d,3.82,1.54,-2.08
Kepler-305 d,3.82,2.71,-2.04
Kepler-233 c,3.82,2.71,-1.61
Kepler-138 b,3.83,1.61,-1.66
Kepler-358 b,3.87,2.72,-2.07
Kepler-226 b,3.88,1.55,-2.33
Kepler-255 b,3.88,1.55,-2.31
Kepler-132 d,3.88,1.55,-2.29
Kepler-364 b,3.88,1.55,-2.26
Kepler-55 e,3.88,1.55,-2.07
Kepler-195 c,3.88,1.55,-1.87
Kepler-385 b,3.92,2.73,-2.39
Kepler-164 c,3.92,2.73,-2.33
Kepler-192 b,3.92,2.73,-2.25
Kepler-212 c,3.92,2.73,-2.21
Kepler-221 d,3.92,2.73,-2.18
Kepler-193 c,3.97,2.74,-2.11
Kepler-304 d,3.97,2.74,-2.06
Kepler-107 b,3.99,1.56,-2.43
Kepler-402 c,3.99,1.56,-2.41
Kepler-190 b,3.99,1.56,-2.31
Kepler-309 b,3.99,1.56,-2.14
Kepler-186 d,3.99,1.56,-1.71
Kepler-49 e,3.99,1.56,-1.54
Kepler-51 c,4,8.99,-1.65
HD 40307 b,4.01,1.56,-2.21
Kepler-244 b,4.02,2.76,-2.32
Kepler-172 e,4.02,2.76,-2.04
Kepler-251 c,4.08,2.77,-2.16
Kepler-251 d,4.08,2.77,-2.02
Kepler-251 e,4.08,2.77,-1.5
Kepler-207 b,4.09,1.57,-2.46
Kepler-356 b,4.09,1.57,-2.44
Kepler-220 c,4.09,1.57,-2.04
Kepler-236 b,4.09,1.57,-1.78
Kepler-249 d,4.09,1.57,-1.42
Kepler-79 e,4.1,3.49,-1.94
PSR 1257 12 c,4.13,1.57,-2.16
HD 156668 b,4.17,1.58,-2.2
Kepler-150 d,4.18,2.79,-2.22
Kepler-192 c,4.18,2.79,-2.13
Kepler-325 d,4.18,2.79,-2.04
Kepler-152 b,4.18,2.79,-1.99
Kepler-111 b,4.2,1.58,-2.42
Kepler-126 c,4.2,1.58,-2.32
Kepler-386 c,4.2,1.58,-1.95
Kepler-259 b,4.24,2.8,-2.33
Kepler-24 c,4.24,2.8,-2.29
Kepler-66 b,4.24,2.8,-2.23
Kepler-20 d,4.24,2.8,-1.75
Kepler-219 d,4.29,2.81,-2.12
Kepler-256 b,4.31,1.59,-2.41
Kepler-370 b,4.31,1.59,-2.37
Kepler-200 c,4.31,1.59,-2.27
Kepler-382 c,4.31,1.59,-2.25
Kepler-55 d,4.31,1.59,-2.17
Kepler-55 f,4.31,1.59,-1.91
Kepler-281 b,4.34,2.82,-2.21
Kepler-198 b,4.34,2.82,-2.17
Kepler-264 c,4.34,2.82,-1.86
Kepler-133 c,4.4,2.83,-2.19
GJ 682 b,4.4,1.6,-1.1
Kepler-410A b,4.41,2.84,-2.37
Kepler-394 b,4.42,1.6,-2.42
Kepler-49 d,4.42,1.6,-2.08
Kepler-288 c,4.45,2.84,-2.25
GJ 676A d,4.45,1.6,-2.06
Kepler-358 c,4.45,2.84,-1.73
