v_id,lng,lat,type,voltage,frequency,wkt_srid_4326
2372,-81.59845708,41.3940079,station,,,SRID=4326;POINT(-81.5984570772511 41.3940079036955)
9442,-121.0705711,38.64679452,station,,,SRID=4326;POINT(-121.070571054447 38.6467945227959)
28696,-76.40795519,43.52061025,merge,,,SRID=4326;POINT(-76.4079551912595 43.5206102526165)
23175,-115.7321907,43.17760219,joint,230000,60,SRID=4326;POINT(-115.732190725925 43.1776021890699)
16344,-81.78699753,28.04694468,substation,69000,60,SRID=4326;POINT(-81.7869975300752 28.0469446846757)
8322,-83.40028912,33.98847518,sub_station,,,SRID=4326;POINT(-83.4002891196782 33.9884751809143)
23543,-86.19224056,39.70006319,joint,345000,60,SRID=4326;POINT(-86.1922405647562 39.7000631899786)
6859,-81.55794214,30.79729802,sub_station,,,SRID=4326;POINT(-81.5579421424603 30.79729801915)
2749,-81.52148733,30.19246246,sub_station,,,SRID=4326;POINT(-81.5214873323632 30.1924624576995)
9657,-108.7158881,45.78508708,station,,,SRID=4326;POINT(-108.715888084493 45.7850870834641)
29745,-84.69653747,34.6231328,joint,230000,,SRID=4326;POINT(-84.6965374669825 34.6231327982018)
1829,-114.2777063,34.16136483,substation,,,SRID=4326;POINT(-114.277706306588 34.1613648301159)
4188,-98.40877831,29.58055909,substation,345000;138000,,SRID=4326;POINT(-98.4087783069754 29.5805590894786)
4555,-81.14598866,32.14813276,substation,,,SRID=4326;POINT(-81.1459886589706 32.1481327581616)
392,-79.61744285,43.54799202,substation,,,SRID=4326;POINT(-79.6174428461642 43.5479920154431)
26102,-91.82787782,46.09993019,joint,,,SRID=4326;POINT(-91.8278778240483 46.0999301900141)
8185,-106.2030785,41.60661241,sub_station,,,SRID=4326;POINT(-106.203078549119 41.6066124062027)
20901,-117.3615156,47.7417738,joint,230000;115000,,SRID=4326;POINT(-117.361515642052 47.7417738020061)
14129,-88.23557231,41.70436268,substation,,,SRID=4326;POINT(-88.2355723105879 41.7043626815276)
22853,-73.59555727,45.6122203,joint,315000,,SRID=4326;POINT(-73.5955572705066 45.6122202989629)
1316,-111.0246923,29.08063796,substation,,,SRID=4326;POINT(-111.024692336537 29.0806379577065)
29462,-105.9204525,37.69430243,merge,,,SRID=4326;POINT(-105.920452523153 37.6943024298524)
20783,-72.64732602,46.4718698,joint,,,SRID=4326;POINT(-72.6473260196467 46.4718698017946)
30242,-122.8999892,50.16134644,joint,,,SRID=4326;POINT(-122.899989210411 50.1613464362279)
19437,-122.1942811,47.4694134,joint,230000,60,SRID=4326;POINT(-122.194281100879 47.4694134017496)
9347,-85.09256411,41.26370889,station,,,SRID=4326;POINT(-85.0925641139281 41.2637088890235)
24729,-84.19818329,43.58253581,joint,,,SRID=4326;POINT(-84.198183293939 43.5825358050805)
29481,-122.9531916,46.9998759,merge,,,SRID=4326;POINT(-122.953191612899 46.9998759049773)
12058,-84.4302922,42.71208482,station,,,SRID=4326;POINT(-84.4302921979222 42.7120848169904)
14117,-82.59306216,38.34910617,sub_station,,,SRID=4326;POINT(-82.5930621612116 38.3491061668137)
11146,-93.33782594,44.59173887,station,,,SRID=4326;POINT(-93.3378259366791 44.5917388746123)
22722,-78.64193231,42.5193114,joint,,,SRID=4326;POINT(-78.6419323122612 42.5193114009315)
21483,-75.78733454,41.23477756,joint,,,SRID=4326;POINT(-75.7873345438423 41.2347775575114)
14145,-85.32542366,34.26532549,sub_station,,,SRID=4326;POINT(-85.3254236572248 34.2653254870881)
3135,-71.28653372,48.37588552,substation,735000,,SRID=4326;POINT(-71.2865337198999 48.375885515601)
218,-78.9229136,36.0110745,sub_station,,,SRID=4326;POINT(-78.92291359757 36.011074496007)
4839,-73.86996792,45.25317264,substation,735000,,SRID=4326;POINT(-73.8699679218353 45.2531726389561)
26978,-102.7433846,32.69640076,joint,,,SRID=4326;POINT(-102.743384635488 32.6964007627889)
24074,-84.62288233,35.64108562,joint,161000,,SRID=4326;POINT(-84.6228823260949 35.6410856224862)
2127,-86.84630967,34.71890963,station,,,SRID=4326;POINT(-86.8463096655117 34.71890963044)
26111,-85.19946015,34.2697832,joint,,,SRID=4326;POINT(-85.1994601521577 34.2697831952125)
6501,-84.11256914,37.98872843,sub_station,,,SRID=4326;POINT(-84.1125691410233 37.9887284302314)
13289,-90.18319619,38.63742339,sub_station,,,SRID=4326;POINT(-90.1831961856521 38.6374233945627)
30239,-112.0427421,41.09315192,joint,138000;345000;138000,,SRID=4326;POINT(-112.042742065212 41.0931519228425)
3537,-80.40875462,26.03482356,substation,,,SRID=4326;POINT(-80.4087546234164 26.0348235588873)
6488,-109.2431128,41.63071884,substation,,,SRID=4326;POINT(-109.243112767584 41.6307188432106)
29181,-88.36001762,49.1367908,merge,,,SRID=4326;POINT(-88.3600176223837 49.1367908048662)
1102,-83.54451804,31.47494963,sub_station,,,SRID=4326;POINT(-83.5445180358987 31.474949632497)
5944,-111.8235754,45.67717866,sub_station,,,SRID=4326;POINT(-111.823575428752 45.6771786552173)
28953,-77.59448545,35.6080052,merge,,,SRID=4326;POINT(-77.5944854507382 35.6080051953172)
21548,-119.5646679,34.45551118,joint,,,SRID=4326;POINT(-119.564667922504 34.4555111761726)
10225,-91.08879687,30.10444238,station,,,SRID=4326;POINT(-91.0887968694774 30.1044423809659)
19555,-81.28526303,28.37693259,joint,230000,,SRID=4326;POINT(-81.2852630345194 28.3769325875084)
23023,-71.28497008,46.85243191,joint,315000,,SRID=4326;POINT(-71.2849700753347 46.8524319114945)
9398,-84.83940203,33.70114733,sub_station,,,SRID=4326;POINT(-84.8394020305622 33.7011473338462)
30744,-112.0445461,41.09680843,joint,,,SRID=4326;POINT(-112.044546130751 41.0968084309491)
21576,-106.0094433,28.57523795,joint,230000,,SRID=4326;POINT(-106.009443323047 28.5752379544754)
16203,-85.98382221,44.09468698,substation,,,SRID=4326;POINT(-85.9838222136774 44.0946869833598)
